Name,Age,Overall,Club,Position,Crossing,ShortPassing,Dribbling,LongPassing,BallControl,Acceleration,SprintSpeed,ShotPower,Stamina,Strength,LongShots,Interceptions,Positioning,Penalties,StandingTackle,SlidingTackle,Best Overall Rating,DefensiveAwareness
21 T. Diáz,23,60,AFC Chindia Târgoviște,SUB,48.0,60.0,64.0,53.0,62.0,67.0,74.0,59.0,60.0,71.0,44.0,55.0,54.0,38.0,25.0,30.0,61.0,51.0
T. Maciejewski,20,62,SK Austria Klagenfurt,SUB,53.0,62.0,66.0,45.0,62.0,79.0,80.0,71.0,67.0,63.0,48.0,22.0,49.0,63.0,24.0,28.0,64.0,27.0
R. Williams,22,64,Doncaster Rovers,RCB,32.0,58.0,51.0,55.0,50.0,77.0,82.0,43.0,72.0,81.0,35.0,62.0,29.0,49.0,64.0,63.0,66.0,63.0
R. Drăgușin,19,67,U.C. Sampdoria,SUB,36.0,54.0,50.0,48.0,53.0,68.0,69.0,47.0,68.0,77.0,30.0,64.0,24.0,49.0,75.0,73.0,69.0,60.0
A. Appiah,20,65,Unión Deportiva Almería,SUB,59.0,51.0,72.0,40.0,68.0,92.0,92.0,61.0,44.0,37.0,49.0,19.0,59.0,67.0,29.0,26.0,66.0,29.0
21 P. Dárdai,21,64,Hertha BSC,RES,64.0,58.0,72.0,45.0,68.0,74.0,68.0,63.0,53.0,34.0,58.0,22.0,55.0,47.0,45.0,34.0,65.0,53.0
S. Aw,22,62,Gil Vicente FC,RES,64.0,51.0,58.0,47.0,56.0,74.0,73.0,41.0,66.0,58.0,30.0,52.0,51.0,36.0,64.0,62.0,62.0,52.0
K. Álvarez,23,60,IFK Norrköping,SUB,57.0,56.0,58.0,43.0,54.0,82.0,86.0,42.0,79.0,72.0,21.0,49.0,42.0,37.0,52.0,58.0,61.0,46.0
D. Agyei,24,60,Oxford United,SUB,39.0,56.0,59.0,41.0,60.0,75.0,72.0,61.0,59.0,73.0,51.0,25.0,60.0,59.0,23.0,25.0,62.0,29.0
F. Chamorro,19,59,Club Deportivo Palestino,RES,55.0,65.0,60.0,61.0,64.0,67.0,67.0,53.0,55.0,60.0,53.0,28.0,53.0,48.0,43.0,41.0,61.0,34.0
S. Andreou,18,64,Royal Charleroi S.C.,CB,47.0,57.0,52.0,55.0,58.0,66.0,77.0,48.0,70.0,73.0,28.0,61.0,28.0,33.0,67.0,62.0,66.0,60.0
I. Stoica,18,60,FCSB (Steaua),SUB,58.0,55.0,61.0,54.0,62.0,83.0,90.0,65.0,62.0,58.0,50.0,25.0,51.0,53.0,27.0,27.0,62.0,30.0
S. Bojang,23,63,FK Haugesund,SUB,51.0,48.0,58.0,40.0,58.0,90.0,92.0,31.0,80.0,68.0,30.0,57.0,46.0,40.0,59.0,57.0,63.0,56.0
Sola,20,62,Real Zaragoza,RES,60.0,53.0,50.0,44.0,52.0,63.0,64.0,38.0,62.0,57.0,33.0,62.0,53.0,46.0,64.0,63.0,62.0,57.0
19 A. Bruhn,24,60,Randers FC,SUB,51.0,63.0,63.0,53.0,64.0,67.0,63.0,59.0,60.0,62.0,49.0,26.0,53.0,48.0,39.0,45.0,60.0,
K. Al Kaabi,29,63,Al Faisaly,SUB,59.0,57.0,62.0,49.0,63.0,86.0,80.0,71.0,73.0,47.0,47.0,16.0,56.0,59.0,19.0,17.0,63.0,17.0
T. Müsel,21,61,Borussia Mönchengladbach,RES,56.0,64.0,66.0,50.0,68.0,66.0,68.0,60.0,54.0,61.0,55.0,28.0,59.0,53.0,25.0,27.0,63.0,23.0
Dai Wai-Tsun,21,57,Shenzhen FC,SUB,56.0,62.0,57.0,58.0,61.0,71.0,69.0,57.0,67.0,60.0,52.0,52.0,25.0,40.0,52.0,51.0,59.0,42.0
Kang Hyun Muk,20,60,Suwon Samsung Bluewings,SUB,50.0,63.0,65.0,55.0,63.0,73.0,72.0,56.0,65.0,58.0,47.0,26.0,62.0,40.0,34.0,35.0,62.0,37.0
20 H. Campagnaro,39,69,Pescara,SUB,58.0,56.0,45.0,56.0,53.0,34.0,37.0,68.0,34.0,86.0,36.0,69.0,38.0,38.0,68.0,64.0,69.0,74.0
20 M. Wasilewski,39,68,Wisła Kraków,RES,58.0,57.0,37.0,51.0,46.0,30.0,30.0,74.0,31.0,93.0,52.0,65.0,49.0,69.0,65.0,66.0,68.0,62.0
A. Ale,26,66,Club Olimpia,SUB,48.0,62.0,39.0,55.0,60.0,63.0,61.0,34.0,64.0,77.0,25.0,60.0,39.0,49.0,70.0,61.0,68.0,61.0
S. Niakaté,21,66,FC Metz,SUB,43.0,56.0,61.0,45.0,62.0,65.0,70.0,35.0,80.0,79.0,24.0,65.0,32.0,40.0,66.0,65.0,68.0,63.0
J. Singh,29,58,SC East Bengal FC,SUB,52.0,52.0,55.0,43.0,55.0,90.0,83.0,62.0,67.0,40.0,50.0,12.0,51.0,52.0,18.0,13.0,58.0,26.0
L. Coulibaly,18,60,FC Nordsjælland,RS,42.0,60.0,63.0,56.0,60.0,84.0,87.0,52.0,45.0,52.0,40.0,21.0,57.0,49.0,36.0,47.0,62.0,32.0
S. Mmaee,24,67,Ferencvárosi TC,LCB,46.0,62.0,51.0,56.0,54.0,67.0,69.0,49.0,64.0,78.0,26.0,64.0,22.0,34.0,66.0,66.0,69.0,72.0
J. Díaz Price,22,61,Club León,SUB,57.0,61.0,63.0,56.0,65.0,75.0,74.0,52.0,55.0,36.0,56.0,19.0,57.0,60.0,58.0,46.0,62.0,37.0
D. Amos,21,59,Port Vale,RES,57.0,54.0,57.0,49.0,54.0,70.0,68.0,42.0,52.0,58.0,36.0,54.0,45.0,47.0,57.0,59.0,59.0,56.0
Diogo,24,65,Club Universidad Nacional,SUB,32.0,56.0,61.0,43.0,59.0,68.0,72.0,72.0,71.0,75.0,54.0,35.0,66.0,50.0,28.0,22.0,67.0,25.0
B. Boukteb,19,55,Seraing,SUB,49.0,57.0,60.0,59.0,63.0,61.0,65.0,53.0,59.0,62.0,48.0,46.0,52.0,43.0,48.0,43.0,58.0,42.0
V. Barco,16,63,Boca Juniors,RES,64.0,59.0,66.0,58.0,65.0,66.0,62.0,32.0,62.0,43.0,34.0,57.0,55.0,47.0,63.0,65.0,63.0,53.0
S. Salcedo,23,68,Club Olimpia,SUB,39.0,47.0,47.0,48.0,54.0,58.0,60.0,52.0,70.0,80.0,27.0,70.0,28.0,43.0,69.0,70.0,70.0,65.0
M. Mihojević,25,69,Göztepe SK,SUB,40.0,58.0,41.0,51.0,52.0,52.0,65.0,60.0,54.0,76.0,48.0,70.0,33.0,36.0,70.0,65.0,71.0,70.0
B. Duncan,20,60,Derby County,RES,52.0,57.0,62.0,44.0,63.0,68.0,64.0,60.0,56.0,53.0,56.0,17.0,63.0,60.0,27.0,20.0,62.0,20.0
G. Johnston,22,65,Bolton Wanderers,LCB,35.0,61.0,56.0,54.0,62.0,66.0,55.0,46.0,60.0,74.0,24.0,65.0,36.0,45.0,66.0,66.0,67.0,63.0
K. Horváth,19,60,Torino F.C.,RES,54.0,60.0,69.0,57.0,69.0,64.0,64.0,61.0,40.0,40.0,44.0,30.0,49.0,62.0,40.0,45.0,62.0,42.0
Ureña,18,64,Girona FC,SUB,65.0,66.0,69.0,61.0,67.0,60.0,69.0,68.0,52.0,55.0,44.0,27.0,57.0,70.0,31.0,33.0,65.0,31.0
L. Kwadwo,24,63,MSV Duisburg,SUB,59.0,60.0,58.0,50.0,58.0,72.0,78.0,49.0,62.0,76.0,30.0,57.0,31.0,31.0,62.0,60.0,64.0,57.0
R. Adebisi,20,61,Crewe Alexandra,LB,58.0,56.0,57.0,46.0,55.0,78.0,73.0,37.0,68.0,57.0,33.0,55.0,52.0,34.0,58.0,55.0,61.0,56.0
B. Santelli,29,63,SC Bastia,RW,57.0,61.0,66.0,46.0,66.0,87.0,79.0,70.0,51.0,65.0,48.0,16.0,56.0,49.0,29.0,21.0,64.0,19.0
L. Lobato,20,62,Vélez Sarsfield,RES,56.0,55.0,68.0,44.0,69.0,71.0,72.0,62.0,60.0,48.0,61.0,28.0,54.0,60.0,33.0,37.0,63.0,24.0
19 J. Collins,34,72,Ipswich Town,SUB,38.0,57.0,38.0,64.0,51.0,30.0,32.0,70.0,33.0,84.0,51.0,72.0,34.0,51.0,72.0,73.0,71.0,
J. López,20,66,Club Atlético Lanús,RS,36.0,59.0,59.0,41.0,69.0,53.0,54.0,63.0,49.0,70.0,59.0,21.0,68.0,66.0,30.0,30.0,68.0,29.0
21 G. Valverde,30,65,Club The Strongest,LCB,64.0,59.0,57.0,58.0,62.0,64.0,59.0,25.0,85.0,66.0,27.0,62.0,39.0,37.0,65.0,66.0,65.0,71.0
M. Guzmán,21,65,Estudiantes de La Plata,SUB,35.0,56.0,45.0,46.0,61.0,60.0,68.0,56.0,73.0,67.0,44.0,64.0,41.0,44.0,69.0,65.0,67.0,68.0
M. Ivanovski,31,62,FC Dinamo 1948 Bucureşti,RES,43.0,58.0,67.0,45.0,63.0,70.0,67.0,65.0,52.0,62.0,52.0,22.0,54.0,63.0,28.0,25.0,62.0,24.0
W. Biedrzycki,23,63,Bruk-Bet Termalica Nieciecza,RCB,41.0,60.0,55.0,58.0,57.0,67.0,67.0,50.0,60.0,75.0,31.0,62.0,35.0,43.0,62.0,63.0,65.0,62.0
21 J. McAtee,20,60,Scunthorpe United,SUB,49.0,62.0,61.0,58.0,59.0,71.0,67.0,55.0,65.0,55.0,56.0,23.0,57.0,56.0,31.0,34.0,62.0,26.0
M. Bogarde,19,64,TSG Hoffenheim,RES,25.0,63.0,63.0,57.0,62.0,60.0,60.0,40.0,67.0,58.0,30.0,69.0,25.0,35.0,68.0,68.0,66.0,67.0
A. Considine,34,67,Aberdeen,SUB,64.0,62.0,61.0,57.0,63.0,34.0,39.0,42.0,80.0,81.0,13.0,64.0,25.0,38.0,68.0,66.0,67.0,67.0
R. Borges,29,62,Mumbai City FC,RCM,41.0,62.0,49.0,56.0,54.0,60.0,61.0,49.0,89.0,73.0,39.0,59.0,42.0,40.0,60.0,58.0,62.0,62.0
S. Graves,22,64,Randers FC,SUB,48.0,66.0,55.0,62.0,64.0,55.0,52.0,62.0,62.0,83.0,35.0,61.0,42.0,35.0,66.0,60.0,66.0,64.0
21 Naldo,31,73,Antalyaspor,LCB,30.0,63.0,49.0,59.0,57.0,31.0,48.0,60.0,64.0,80.0,41.0,77.0,26.0,43.0,74.0,73.0,73.0,75.0
D. O'Shaughnessy,26,66,HJK Helsinki,LCB,56.0,62.0,45.0,61.0,56.0,52.0,57.0,49.0,68.0,80.0,42.0,63.0,37.0,45.0,67.0,64.0,68.0,66.0
19 B. Öksüz,22,63,Antalyaspor,SUB,58.0,45.0,59.0,27.0,60.0,73.0,74.0,35.0,68.0,60.0,29.0,65.0,52.0,42.0,67.0,63.0,62.0,
J. Lynch,33,64,Crawley Town,LCB,53.0,52.0,45.0,55.0,48.0,46.0,47.0,65.0,33.0,90.0,61.0,62.0,36.0,35.0,63.0,63.0,64.0,64.0
E. Utkus,21,63,KSV Cercle Brugge,RCB,44.0,68.0,56.0,68.0,58.0,57.0,65.0,46.0,60.0,76.0,32.0,58.0,37.0,47.0,65.0,59.0,65.0,63.0
S. Walker,20,60,Tranmere Rovers,RES,48.0,55.0,62.0,47.0,60.0,78.0,73.0,58.0,65.0,57.0,54.0,32.0,59.0,61.0,30.0,35.0,61.0,29.0
J. Mary,28,69,Avispa Fukuoka,SUB,29.0,62.0,65.0,49.0,68.0,75.0,68.0,68.0,62.0,83.0,67.0,13.0,70.0,56.0,17.0,12.0,69.0,15.0
A. Mawson,27,70,Fulham,SUB,23.0,66.0,55.0,68.0,62.0,54.0,54.0,53.0,52.0,80.0,21.0,70.0,28.0,32.0,70.0,71.0,72.0,72.0
S. Kutschke,32,67,FC Ingolstadt 04,RES,38.0,53.0,49.0,34.0,59.0,47.0,50.0,74.0,69.0,91.0,66.0,20.0,73.0,69.0,53.0,18.0,67.0,28.0
S. Posch,24,75,TSG Hoffenheim,SUB,35.0,69.0,34.0,58.0,50.0,70.0,71.0,42.0,63.0,76.0,25.0,77.0,36.0,38.0,81.0,77.0,77.0,78.0
D. Bain,27,71,Stade Brestois 29,SUB,24.0,65.0,48.0,68.0,62.0,61.0,61.0,39.0,67.0,79.0,19.0,68.0,21.0,47.0,73.0,69.0,73.0,72.0
P. Halder,28,58,Jamshedpur FC,RCM,38.0,56.0,52.0,55.0,51.0,57.0,53.0,58.0,61.0,74.0,51.0,55.0,49.0,41.0,57.0,56.0,60.0,60.0
M. Dabre,18,58,Swindon Town,SUB,44.0,55.0,58.0,48.0,55.0,93.0,91.0,51.0,74.0,62.0,49.0,38.0,56.0,46.0,44.0,31.0,61.0,46.0
16 L. Toni,38,76,Hellas Verona,SUB,30.0,68.0,58.0,32.0,74.0,34.0,34.0,77.0,34.0,91.0,51.0,15.0,88.0,77.0,25.0,15.0,75.0,
S. Smith,23,61,Cambridge United,SUB,39.0,56.0,56.0,41.0,57.0,64.0,69.0,60.0,65.0,76.0,58.0,19.0,63.0,63.0,19.0,19.0,63.0,21.0
R. East,22,56,Swindon Town,SUB,47.0,63.0,57.0,60.0,63.0,74.0,65.0,58.0,62.0,29.0,49.0,42.0,44.0,48.0,38.0,34.0,60.0,43.0
J. Iredale,25,63,Cambridge United,LB,60.0,55.0,58.0,42.0,58.0,77.0,74.0,42.0,73.0,62.0,36.0,57.0,59.0,40.0,59.0,57.0,63.0,58.0
M. Alonso,18,59,Club Atlético Peñarol,SUB,51.0,54.0,67.0,46.0,55.0,74.0,76.0,49.0,58.0,47.0,49.0,29.0,54.0,58.0,38.0,33.0,60.0,24.0
F. Dele-Bashiru,20,58,Sheffield Wednesday,RES,45.0,65.0,60.0,62.0,64.0,65.0,67.0,50.0,71.0,68.0,51.0,39.0,62.0,40.0,57.0,50.0,60.0,43.0
D. Bakwa,18,63,FC Girondins de Bordeaux,RES,56.0,61.0,69.0,47.0,68.0,78.0,78.0,51.0,61.0,64.0,48.0,35.0,57.0,59.0,26.0,28.0,65.0,27.0
D. Kocyła,18,63,Wisła Płock,SUB,57.0,58.0,60.0,51.0,63.0,76.0,77.0,58.0,74.0,40.0,52.0,37.0,60.0,60.0,18.0,18.0,64.0,21.0
Insua,27,71,SD Huesca,SUB,37.0,71.0,44.0,62.0,65.0,43.0,51.0,43.0,40.0,72.0,29.0,72.0,41.0,32.0,74.0,72.0,73.0,71.0
Y. Konoplia,21,65,Shakhtar Donetsk,SUB,61.0,67.0,53.0,22.0,58.0,75.0,79.0,59.0,76.0,58.0,41.0,52.0,58.0,36.0,65.0,62.0,65.0,56.0
21 T. Cavanagh,19,62,Vélez Sarsfield,RES,53.0,53.0,56.0,41.0,54.0,72.0,82.0,43.0,73.0,51.0,35.0,62.0,51.0,39.0,62.0,58.0,62.0,49.0
F. Bettache,20,57,Oldham Athletic,SUB,49.0,62.0,55.0,59.0,59.0,61.0,65.0,58.0,64.0,58.0,48.0,54.0,53.0,47.0,52.0,49.0,59.0,49.0
F. Jno-Baptiste,21,61,Östersunds FK,LS,42.0,51.0,63.0,41.0,60.0,83.0,82.0,65.0,63.0,49.0,56.0,24.0,60.0,67.0,23.0,27.0,63.0,27.0
21 A. Kızıldağ,21,64,Gençlerbirliği SK,RCB,36.0,61.0,56.0,59.0,40.0,59.0,69.0,46.0,65.0,64.0,31.0,63.0,46.0,53.0,68.0,62.0,66.0,68.0
Rodrigo Becão,25,74,Udinese Calcio,RCB,48.0,68.0,36.0,64.0,58.0,46.0,52.0,44.0,57.0,75.0,32.0,75.0,28.0,31.0,78.0,73.0,76.0,77.0
U. Singh,25,57,Bengaluru FC,RM,55.0,51.0,56.0,42.0,54.0,83.0,87.0,56.0,65.0,57.0,50.0,35.0,52.0,49.0,32.0,31.0,58.0,24.0
Rúben Fonseca,21,63,CD Tondela,SUB,26.0,56.0,55.0,43.0,64.0,62.0,54.0,75.0,68.0,68.0,53.0,38.0,68.0,62.0,26.0,25.0,65.0,39.0
Saulo Mineiro,24,63,Yokohama FC,ST,56.0,61.0,61.0,46.0,58.0,73.0,78.0,66.0,60.0,86.0,51.0,13.0,63.0,62.0,19.0,15.0,65.0,15.0
A. Souper,22,65,CD Antofagasta,SUB,54.0,67.0,71.0,58.0,68.0,67.0,66.0,51.0,62.0,45.0,62.0,23.0,55.0,44.0,41.0,40.0,67.0,34.0
21 S. Maierhofer,37,63,FC Würzburger Kickers,RES,43.0,51.0,43.0,41.0,48.0,29.0,30.0,78.0,31.0,94.0,63.0,48.0,73.0,65.0,49.0,39.0,63.0,45.0
O. Tymchyk,24,72,Dynamo Kyiv,SUB,67.0,67.0,46.0,44.0,62.0,84.0,89.0,22.0,70.0,44.0,25.0,74.0,44.0,37.0,66.0,65.0,72.0,72.0
David Costa,20,65,Racing Club de Lens,SUB,53.0,64.0,75.0,62.0,74.0,72.0,67.0,56.0,35.0,41.0,49.0,23.0,55.0,48.0,30.0,35.0,67.0,22.0
B. Baiye,19,62,Clermont Foot 63,SUB,36.0,63.0,57.0,58.0,61.0,64.0,47.0,48.0,63.0,74.0,30.0,62.0,39.0,48.0,64.0,61.0,64.0,60.0
21 M. Robin,20,61,FC Metz,SUB,37.0,60.0,64.0,56.0,59.0,64.0,59.0,62.0,56.0,49.0,64.0,11.0,62.0,68.0,16.0,21.0,63.0,14.0
21 B. Manzano,29,65,,SUB,46.0,70.0,50.0,67.0,65.0,60.0,57.0,48.0,68.0,68.0,28.0,62.0,33.0,37.0,63.0,60.0,65.0,65.0
08 L. Thuram,35,83,FC Barcelona,SUB,67.0,71.0,63.0,55.0,78.0,78.0,73.0,44.0,71.0,90.0,27.0,90.0,86.0,89.0,85.0,,83.0,
M. Barbieri,27,71,Deportivo Toluca,RCB,28.0,57.0,45.0,45.0,57.0,55.0,67.0,56.0,33.0,86.0,25.0,69.0,39.0,42.0,71.0,68.0,73.0,69.0
L. Davis,21,64,AFC Bournemouth,RES,58.0,64.0,58.0,54.0,56.0,79.0,78.0,24.0,64.0,56.0,30.0,59.0,47.0,42.0,62.0,59.0,64.0,58.0
D. Aimar,26,70,Barcelona Sporting Club,RES,30.0,68.0,32.0,52.0,69.0,64.0,64.0,39.0,68.0,76.0,26.0,69.0,28.0,38.0,74.0,68.0,72.0,69.0
H. Bah-Traoré,24,61,Borussia Dortmund II,SUB,44.0,51.0,52.0,43.0,56.0,76.0,80.0,50.0,67.0,69.0,27.0,57.0,42.0,30.0,59.0,61.0,61.0,60.0
J. Brown,23,63,St. Johnstone FC,RCB,58.0,52.0,56.0,44.0,62.0,72.0,69.0,42.0,71.0,69.0,30.0,58.0,42.0,33.0,62.0,63.0,63.0,62.0
H. Martínez,23,63,Junior FC,SUB,33.0,63.0,40.0,62.0,55.0,75.0,67.0,51.0,70.0,64.0,26.0,63.0,27.0,38.0,61.0,65.0,65.0,64.0
F. Romagna,24,69,U.S. Sassuolo Calcio,SUB,38.0,66.0,51.0,65.0,60.0,54.0,51.0,48.0,48.0,65.0,30.0,69.0,36.0,43.0,73.0,70.0,71.0,75.0
H. Al Hazaa,29,65,Ettifaq FC,SUB,37.0,51.0,59.0,36.0,66.0,79.0,75.0,62.0,58.0,62.0,50.0,14.0,65.0,61.0,17.0,15.0,65.0,16.0
B. Adekanye,22,64,Lazio,RES,62.0,60.0,69.0,46.0,68.0,73.0,69.0,63.0,49.0,53.0,48.0,21.0,60.0,52.0,35.0,30.0,64.0,25.0
21 W. Lisowski,28,60,PGE FKS Stal Mielec,SUB,54.0,58.0,55.0,62.0,51.0,71.0,68.0,54.0,71.0,70.0,38.0,56.0,43.0,38.0,56.0,58.0,60.0,54.0
F. Kruspzky,18,60,Arsenal de Sarandí,RES,56.0,66.0,68.0,63.0,66.0,67.0,64.0,55.0,52.0,46.0,42.0,28.0,55.0,50.0,42.0,54.0,63.0,37.0
V. Haroyan,28,71,Cádiz CF,RCB,35.0,69.0,43.0,57.0,51.0,61.0,56.0,39.0,74.0,76.0,19.0,71.0,33.0,41.0,75.0,73.0,72.0,69.0
J. Albrecht,19,57,Hertha BSC,RES,49.0,63.0,58.0,59.0,60.0,54.0,51.0,58.0,51.0,56.0,48.0,51.0,51.0,42.0,57.0,54.0,58.0,51.0
K. Schlotterbeck,24,72,Sport-Club Freiburg,SUB,25.0,65.0,49.0,59.0,57.0,53.0,76.0,33.0,64.0,79.0,26.0,71.0,24.0,39.0,78.0,70.0,74.0,73.0
R. Kehr,21,63,SpVgg Greuther Fürth,RES,59.0,64.0,59.0,41.0,66.0,88.0,89.0,53.0,59.0,69.0,48.0,20.0,55.0,58.0,28.0,20.0,64.0,24.0
A. Jonjić,21,61,FC Erzgebirge Aue,SUB,55.0,55.0,66.0,46.0,64.0,75.0,71.0,52.0,66.0,60.0,52.0,28.0,56.0,42.0,35.0,33.0,62.0,22.0
08 E. Chiesa,36,79,Siena,LS,68.0,68.0,73.0,52.0,85.0,72.0,64.0,83.0,70.0,67.0,76.0,76.0,74.0,72.0,53.0,,79.0,
C. Trejo,21,61,Club Atlas,SUB,41.0,66.0,54.0,59.0,66.0,76.0,77.0,66.0,68.0,68.0,56.0,14.0,57.0,73.0,14.0,20.0,65.0,19.0
M. Doucouré,21,63,Nîmes Olympique,SUB,29.0,56.0,66.0,37.0,61.0,66.0,73.0,64.0,58.0,81.0,55.0,29.0,59.0,60.0,27.0,21.0,65.0,26.0
M. Gillesphey,25,65,Plymouth Argyle,LCB,37.0,64.0,53.0,62.0,55.0,51.0,53.0,46.0,82.0,84.0,29.0,61.0,29.0,44.0,67.0,66.0,67.0,60.0
D. Szelągowski,18,62,Raków Częstochowa,SUB,51.0,57.0,67.0,53.0,63.0,85.0,77.0,58.0,61.0,56.0,53.0,15.0,60.0,51.0,14.0,14.0,64.0,14.0
S. Thesker,30,68,Holstein Kiel,SUB,42.0,57.0,47.0,68.0,57.0,43.0,50.0,58.0,61.0,78.0,39.0,71.0,38.0,42.0,72.0,64.0,68.0,69.0
J. Novillo,23,71,Racing Club,SUB,33.0,58.0,46.0,44.0,50.0,63.0,65.0,52.0,68.0,86.0,29.0,68.0,38.0,43.0,72.0,68.0,73.0,67.0
T. Aasgaard,19,62,Wigan Athletic,SUB,42.0,62.0,63.0,60.0,61.0,77.0,71.0,56.0,56.0,36.0,57.0,37.0,59.0,44.0,39.0,35.0,64.0,35.0
Miguel,19,66,Real Madrid CF,RES,59.0,58.0,55.0,35.0,60.0,72.0,70.0,48.0,66.0,58.0,24.0,64.0,48.0,40.0,67.0,66.0,66.0,62.0
M. Diaby,24,71,FC Paços de Ferreira,SUB,39.0,67.0,50.0,55.0,58.0,35.0,32.0,51.0,84.0,77.0,52.0,72.0,35.0,36.0,77.0,74.0,73.0,75.0
Telmo Arcanjo,20,61,CD Tondela,SUB,53.0,63.0,65.0,63.0,65.0,68.0,69.0,59.0,34.0,61.0,39.0,35.0,49.0,60.0,36.0,42.0,63.0,40.0
T. Hadebe,25,67,Houston Dynamo,LCB,41.0,51.0,41.0,43.0,44.0,79.0,80.0,41.0,63.0,82.0,29.0,65.0,30.0,39.0,66.0,64.0,69.0,66.0
16 S. Nikolić,25,63,Bruk-Bet Termalica Nieciecza,SUB,42.0,59.0,59.0,38.0,62.0,52.0,65.0,61.0,65.0,83.0,53.0,36.0,66.0,55.0,23.0,22.0,63.0,
M. Burch,20,65,FC Luzern,RCB,43.0,58.0,36.0,55.0,59.0,69.0,65.0,40.0,74.0,75.0,31.0,64.0,25.0,31.0,69.0,62.0,67.0,65.0
10 Emerson,33,75,,NA,70.0,78.0,65.0,74.0,77.0,59.0,65.0,62.0,49.0,78.0,63.0,88.0,87.0,76.0,79.0,,75.0,
J. Blasco,22,66,Real Sociedad B,RB,61.0,64.0,52.0,37.0,55.0,66.0,68.0,47.0,76.0,68.0,24.0,58.0,38.0,43.0,71.0,68.0,66.0,57.0
S. Cornish,19,55,Colchester United,RES,43.0,59.0,52.0,57.0,54.0,66.0,70.0,46.0,66.0,60.0,45.0,51.0,48.0,49.0,49.0,48.0,57.0,49.0
Ricard,21,65,CD Lugo,SUB,65.0,54.0,59.0,50.0,64.0,72.0,77.0,32.0,68.0,49.0,28.0,63.0,45.0,42.0,58.0,62.0,65.0,65.0
Luis Carbonell,18,63,Real Madrid CF,RES,40.0,57.0,73.0,44.0,68.0,75.0,74.0,69.0,53.0,40.0,57.0,17.0,59.0,72.0,13.0,12.0,65.0,16.0
�. Baiaram,18,65,Universitatea Craiova,LW,61.0,63.0,64.0,52.0,63.0,85.0,86.0,55.0,73.0,43.0,44.0,20.0,59.0,42.0,31.0,30.0,67.0,32.0
D. Hoogewerf,18,60,Manchester United,RES,49.0,56.0,59.0,44.0,58.0,80.0,78.0,57.0,57.0,44.0,54.0,21.0,57.0,60.0,24.0,19.0,61.0,19.0
Y. Osorio,27,74,Parma,RCB,33.0,64.0,44.0,38.0,59.0,55.0,55.0,40.0,71.0,86.0,30.0,73.0,30.0,40.0,75.0,73.0,76.0,71.0
M. Nyeman,17,58,D.C. United,SUB,38.0,64.0,57.0,63.0,59.0,66.0,69.0,43.0,74.0,33.0,32.0,50.0,54.0,43.0,58.0,54.0,59.0,57.0
21 J. Hamilton,24,64,Columbus Crew,RES,28.0,63.0,58.0,32.0,62.0,74.0,78.0,67.0,57.0,78.0,54.0,25.0,65.0,60.0,24.0,18.0,66.0,15.0
S. Kersten,23,67,PEC Zwolle,SUB,31.0,68.0,42.0,65.0,57.0,66.0,46.0,59.0,68.0,81.0,51.0,65.0,30.0,40.0,70.0,68.0,69.0,67.0
J. Diamond,21,61,Harrogate Town,LM,52.0,55.0,62.0,44.0,60.0,83.0,80.0,52.0,64.0,53.0,53.0,28.0,56.0,50.0,30.0,24.0,62.0,34.0
F. Kent,25,68,Peterborough United,RCB,28.0,64.0,52.0,55.0,62.0,61.0,66.0,38.0,81.0,76.0,16.0,66.0,40.0,34.0,68.0,66.0,70.0,68.0
J. Hodge,18,55,Wolverhampton Wanderers,RES,49.0,58.0,54.0,55.0,58.0,62.0,56.0,56.0,53.0,57.0,51.0,46.0,51.0,53.0,52.0,50.0,57.0,44.0
A. Fadera,19,60,SV Zulte Waregem,SUB,53.0,59.0,60.0,33.0,64.0,78.0,79.0,70.0,66.0,60.0,61.0,20.0,52.0,51.0,34.0,22.0,62.0,21.0
Maciel,21,64,New England Revolution,RCM,41.0,70.0,54.0,70.0,61.0,63.0,57.0,53.0,68.0,54.0,32.0,62.0,34.0,37.0,62.0,57.0,65.0,58.0
L. Erwin,27,61,St. Mirren,SUB,40.0,56.0,61.0,45.0,61.0,67.0,67.0,63.0,69.0,72.0,58.0,27.0,62.0,68.0,15.0,19.0,61.0,30.0
21 M. Fossey,21,61,Fulham,RES,55.0,57.0,63.0,41.0,59.0,77.0,79.0,42.0,66.0,58.0,34.0,54.0,58.0,28.0,55.0,56.0,62.0,55.0
R. Feely,24,60,Bohemian FC,SUB,54.0,54.0,54.0,51.0,57.0,52.0,70.0,42.0,75.0,70.0,36.0,53.0,39.0,52.0,59.0,56.0,60.0,55.0
J. Reid,19,60,Coventry City,RES,53.0,53.0,54.0,45.0,53.0,73.0,72.0,41.0,68.0,66.0,33.0,56.0,51.0,39.0,59.0,57.0,60.0,57.0
21 C. Scott,18,61,FC Bayern München II,LM,47.0,52.0,66.0,48.0,68.0,78.0,77.0,60.0,55.0,34.0,53.0,25.0,56.0,49.0,19.0,26.0,63.0,29.0
16 M. Delgado,20,61,Toulouse Football Club,RES,53.0,56.0,60.0,51.0,61.0,65.0,74.0,54.0,61.0,49.0,49.0,25.0,63.0,57.0,24.0,17.0,61.0,
